First_Name,Last_Name,gender_id,origin_country_id,Date_of_Birth,Date_Hired,dept_id,site_id,pos_id
Hussian,Jalal,311,1000,04-07-67,01-04-22,3010,1002,3011
Allison,Kim,310,4000,27-06-82,21-07-24,3010,1002,3013
Gregory,Velazquez,311,6000,15-12-67,07-11-23,3010,1002,3012
Madison,Ramirez,310,11000,31-03-91,18-09-20,9010,1002,9012
Savannah,Miller,310,1000,24-02-68,08-01-21,9010,1001,9011
Amanda,Ochoa,310,8000,15-03-88,19-12-23,9010,1003,9013
Melissa,Meyer,310,2000,10-04-78,01-09-24,9010,2001,9018
Thaqif,Salim,311,1000,02-02-93,26-01-22,7010,1003,7014
Daniel,Shamsul,311,1000,06-03-03,23-08-20,3010,1003,3015
Hafiz,Wahid,311,2000,19-12-81,18-11-22,6010,2001,6014
Thaqif,Rizam,311,2000,10-05-82,16-06-24,6010,2001,6011
Zainuddin,Mohamad,311,1000,07-07-84,19-11-22,9050,1001,9051
Zainuddin,Rami,311,1000,15-07-79,26-12-19,9050,1003,9053
Fariz,Idris,311,1000,07-06-75,02-09-22,8010,1001,8012
Sulaiman,Saad,311,1000,22-07-87,23-07-22,1010,2001,1012
Luqman,Omar,311,1000,22-07-86,08-06-22,1010,1001,1012
Fadhil,Shamsul,311,1000,17-05-76,05-05-22,6010,1002,6014
Junaid,Zainuddin,311,2000,09-02-73,16-02-24,9050,2001,9054
Ilham,Zahid,311,1000,18-12-89,07-03-23,5010,1001,5013
Arif,Rizki,311,2000,23-08-66,09-07-20,5010,2001,5012
Syafiq,Safwan,311,1000,22-08-79,22-12-22,8010,1001,8011
Haziq,Zulkifli,311,1000,10-05-80,03-05-24,9010,2001,9017
Ridwan,Farhan,311,1000,15-06-05,17-03-22,2010,2001,2012
Taufik,Mustaqim,311,1000,05-05-84,19-05-22,6010,1002,6014
Qayyum,Khalid,311,2000,17-12-01,02-04-24,9010,2001,9017
Nizamuddin,Rizam,311,1000,12-01-04,30-09-20,6010,1001,6012
Abid,Zulkifli,311,1000,22-12-64,13-12-19,8010,2001,8013
Danish,Arif,311,1000,15-04-82,23-07-22,6010,1001,6011
Omar,Zainudeen,311,1000,12-06-02,08-04-22,1010,1002,1013
Zikri,Shamsul,311,2000,22-03-06,21-11-21,9010,2001,9014
Ridwan,Wahid,311,1000,05-04-68,06-10-23,2010,1001,2014
Omar,Zawawi,311,1000,12-12-97,09-08-20,3010,1002,3016
Khairul,Yasin,311,1000,18-08-00,03-03-20,9050,1001,9054
Ihsan,Rahman,311,1000,22-10-02,25-07-20,1010,1002,1013
Haikal,Basri,311,1000,06-03-98,28-04-23,5010,2001,5011
Ridwan,Omar,311,1000,13-09-78,16-08-21,1010,1003,1011
Sufyan,Irwan,311,1000,29-08-94,05-08-24,8010,1003,8013
Azzam,Zainuddin,311,1000,09-03-06,12-10-20,4010,1002,4012
Thaqif,Saad,311,1000,01-08-97,13-06-22,4010,1001,4014
Jihan,Wahid,311,2000,13-10-85,07-06-20,4010,2001,4012
Farid,Syed Mohammed Jalal,311,1000,19-01-89,05-03-24,9050,1002,9054
Haikal,Rahman,311,1000,26-02-88,02-03-22,8010,1003,8012
Ikram,Shahbaz,311,1000,03-11-93,16-05-22,7010,1003,7012
Bahar,Pasha,311,1000,09-05-03,22-04-21,2010,1003,2011
Iqbal,Tohir,311,1000,06-06-98,29-05-23,1010,1002,1011
Taufik,Zulkifli,311,2000,17-11-86,19-01-20,4010,2001,4013
Raziq,Malik,311,2000,28-10-87,17-05-21,4010,2001,4013
Qudrat,Hisham,311,1000,11-01-65,02-06-24,6010,1003,6011
Saad,Ahmad,311,2000,26-07-65,10-05-23,4010,2001,4012
Nizam,Rami,311,1000,01-04-71,19-09-21,9010,2001,9014
Mikhail,Azman,311,1000,07-11-74,27-04-20,6010,1001,6014
Shahir,Mohammad,311,1000,17-02-79,02-05-21,2010,1001,2014
Khodir,Zahid,311,2000,15-04-68,27-07-24,6010,2001,6013
Azhari,Firas,311,1000,06-11-84,20-05-23,9050,2001,9052
Bahtiar,Syahril,311,1000,30-10-72,10-02-20,8010,1003,8011
Ikmal,Bakar,311,1000,24-08-72,16-01-24,5010,1003,5012
Saad,Nabil,311,1000,08-11-77,04-10-23,6010,1003,6011
Zulfadli,Bashir,311,1000,01-01-02,02-06-22,3010,1002,3017
Kamal,Zahid,311,1000,10-09-68,10-01-21,1010,1003,1011
Thaqif,Shamsul,311,2000,26-11-75,07-01-22,2010,2001,2011
Ihsan,Farhan,311,1000,26-09-05,10-03-23,3010,1003,3014
Omar,Misbah,311,1000,28-10-75,29-09-23,1010,1002,1014
Malik,Yusof,311,1000,23-07-88,03-10-22,3010,1003,3014
Mikhail,Luqman,311,1000,07-03-01,07-12-22,3010,1001,3015
Lutfi,Umar,311,1000,09-12-89,15-03-22,9010,1002,9016
Rayyan,Zulkarnain,311,2000,13-02-95,16-06-20,8010,2001,8012
Zulfadli,Rizam,311,1000,19-07-78,01-08-21,9010,2001,9015
Farhan,Bakar,311,1000,25-08-79,28-05-20,9010,1002,9017
Zulkarnain,Mansor,311,1000,15-07-74,16-12-22,9010,1001,9015
Farhan,Mansor,311,1000,24-11-86,02-04-23,3010,1001,3017
Khai,Hafiz,311,2000,01-10-83,06-09-24,7010,2001,7011
Emran,Shahrul,311,1000,15-03-71,20-03-22,4010,1002,4014
Danish,Ibrahim,311,1000,10-08-01,09-09-21,2010,2001,2013
Bahar,Zaman,311,1000,23-08-06,27-10-20,8010,1002,8011
Firas,Tajuddin,311,1000,31-01-95,07-06-21,1010,1003,1012
Jazlan,Nabil,311,1000,07-06-98,14-01-21,6010,1001,6013
