,emp_id,Username,First_Name,Last_Name,Gender,OriginCountry,Date_of_Birth,Date_Hired,Position,Department,Site,Site_Country,status,Age,Hired_period
0,101005,hussian_jalal,Hussian,Jalal,Male,Malaysia,1967-04-07,2022-01-04,Chief Executive Officer,Executive Management,Kulim,Malaysia,inactive,57.0,2.0
1,101006,allison_kim,Allison,Kim,Female,Guyana,1982-06-27,2024-07-21,Chief Information Officer,Executive Management,Kulim,Malaysia,active,42.0,0.0
2,101007,gregory_velazquez,Gregory,Velazquez,Male,Luxembourg,1967-12-15,2023-07-11,Chief Financial Officer,Executive Management,Kulim,Malaysia,inactive,56.0,1.0
3,101008,madison_ramirez,Madison,Ramirez,Female,Columbia,1991-03-31,2020-09-18,Kulim Site Manager,Site Management,Kulim,Malaysia,active,33.0,4.0
4,101009,savannah_miller,Savannah,Miller,Female,Malaysia,1968-02-24,2021-08-01,Kuala Lumpur Site Manager,Site Management,Kuala Lumpur,Malaysia,inactive,56.0,3.0
5,101010,amanda_ochoa,Amanda,Ochoa,Female,Namibia,1988-03-15,2023-12-19,Senai Site Manager,Site Management,Senai,Malaysia,active,36.0,0.0
6,101011,melissa_meyer,Melissa,Meyer,Female,Indonesia,1978-10-04,2024-01-09,Surabaya Site Manager,Site Management,Surabaya,Indonesia,active,46.0,0.0
7,101012,thaqif_salim,Thaqif,Salim,Male,Malaysia,1993-02-02,2022-01-26,Safety Manager,Safety,Senai,Malaysia,active,31.0,2.0
8,101013,daniel_shamsul,Daniel,Shamsul,Male,Malaysia,2003-06-03,2020-08-23,Executive Management Engineer,Executive Management,Senai,Malaysia,active,21.0,4.0
9,101014,hafiz_wahid,Hafiz,Wahid,Male,Indonesia,1981-12-19,2022-11-18,Information Technology Manager,Information Technology,Surabaya,Indonesia,active,42.0,1.0
10,101015,thaqif_rizam,Thaqif,Rizam,Male,Indonesia,1982-10-05,2024-06-16,Information Technology Analyst,Information Technology,Surabaya,Indonesia,active,42.0,0.0
11,101016,zainuddin_mohamad,Zainuddin,Mohamad,Male,Malaysia,1984-07-07,2022-11-19,Site Support Analyst,Site Support,Kuala Lumpur,Malaysia,active,40.0,1.0
12,101017,zainuddin_rami,Zainuddin,Rami,Male,Malaysia,1979-07-15,2019-12-26,Site Support Executive,Site Support,Senai,Malaysia,active,45.0,4.0
13,101018,fariz_idris,Fariz,Idris,Male,Malaysia,1975-07-06,2022-02-09,Sales Engineer,Sales,Kuala Lumpur,Malaysia,active,49.0,2.0
14,101019,sulaiman_saad,Sulaiman,Saad,Male,Malaysia,1987-07-22,2022-07-23,Data Analysis Engineer,Data Analysis,Surabaya,Indonesia,active,37.0,2.0
15,101020,luqman_omar,Luqman,Omar,Male,Malaysia,1986-07-22,2022-08-06,Data Analysis Engineer,Data Analysis,Kuala Lumpur,Malaysia,active,38.0,2.0
16,101021,fadhil_shamsul,Fadhil,Shamsul,Male,Malaysia,1976-05-17,2022-05-05,Information Technology Manager,Information Technology,Kulim,Malaysia,active,48.0,2.0
17,101022,junaid_zainuddin,Junaid,Zainuddin,Male,Indonesia,1973-09-02,2024-02-16,Site Support Manager,Site Support,Surabaya,Indonesia,active,51.0,0.0
18,101023,ilham_zahid,Ilham,Zahid,Male,Malaysia,1989-12-18,2023-07-03,HR Executive,Human Resource,Kuala Lumpur,Malaysia,active,34.0,1.0
19,101024,arif_rizki,Arif,Rizki,Male,Indonesia,1966-08-23,2020-09-07,HR Engineer,Human Resource,Surabaya,Indonesia,inactive,58.0,4.0
20,101025,syafiq_safwan,Syafiq,Safwan,Male,Malaysia,1979-08-22,2022-12-22,Sales Analyst,Sales,Kuala Lumpur,Malaysia,active,45.0,1.0
21,101026,haziq_zulkifli,Haziq,Zulkifli,Male,Malaysia,1980-10-05,2024-03-05,Site Management Manager,Site Management,Surabaya,Indonesia,active,44.0,0.0
