userid,firstname,lastname,date_of_birth,gender,dept,nom_kp
1000,Tara,Murphy,1982-04-15,Male,Finance,820415-44-3030
1001,Sarah,Reyes,1967-08-04,Female,Quality,670804-33-4039
1002,Brandon,Lee,2000-01-14,Male,Quality,000114-33-3032
1003,Jonathan,Stone,1971-07-22,Female,Operations,710722-99-4041
1004,Alexandra,Lopez,1990-05-24,Male,Marketing,900524-88-3034
1005,Ethan,House,1975-01-29,Female,Information Technology,750129-77-4043
1006,Kim,Vega,2005-11-29,Female,Operations,051129-99-4045
1007,Matthew,Jones,1960-07-13,Male,Human Resources,600713-66-3036
1008,Paul,Smith,1992-05-08,Female,Finance,920508-44-4047
1009,Timothy,Holloway,1983-04-09,Male,Information Technology,830409-77-3038
1010,Harold,Villa,1975-09-19,Female,Marketing,750919-88-4049
1011,Edward,Cox,1996-06-29,Female,Human Resources,960629-66-4051
1012,Frederick,Cruz,1973-03-09,Male,Operations,730309-99-3040
1013,Jasmine,Alvarez,1971-03-19,Male,Human Resources,710319-66-3042
1014,Benjamin,Mason,1989-07-09,Male,Human Resources,890709-66-3044
1015,Adrienne,Rodriguez,2005-09-05,Female,Marketing,050905-88-4053
1016,Kristina,Daugherty,2001-02-08,Female,Marketing,010208-88-4055
1017,Ashley,Alexander,1978-09-06,Male,Information Technology,780906-77-3046
1018,Dana,Berry,2006-07-29,Male,Finance,060729-44-3048
1019,Sarah,Wolfe,1966-10-28,Female,Marketing,661028-88-4057
1020,Andrew,Shields,1958-09-29,Male,Information Technology,580929-77-3050
1021,Felicia,Jones,1972-03-15,Female,Quality,720315-33-4059
1022,James,Espinoza,2001-07-04,Female,Operations,010704-99-4061
1023,Ethan,Mitchell,1992-05-28,Female,Human Resources,920528-66-4063
1024,Brian,Stein,1966-06-19,Female,Human Resources,660619-66-4065
1025,Meagan,Wolf,1956-07-06,Male,Information Technology,560706-77-3052
1026,Robert,Frye,1970-10-30,Male,Finance,701030-44-3054
1027,Christopher,Fernandez,1962-10-28,Male,Finance,621028-44-3056
1028,Theodore,James,1994-01-29,Female,Marketing,940129-88-4067
1029,Tracy,Brown,1999-04-14,Female,Operations,990414-99-4069
1030,Michele,Jackson,1963-08-17,Male,Finance,630817-44-3058
1031,Brian,Gray,1958-02-15,Male,Marketing,580215-88-3060
1032,Anita,Leon,1955-04-26,Male,Information Technology,550426-77-3062
1033,Carl,Norris,1983-09-21,Male,Human Resources,830921-66-3064
1034,Jack,Hill,1957-01-10,Female,Finance,570110-44-4071
1035,Annette,Sullivan,1955-04-22,Male,Marketing,550422-88-3066
1036,Cynthia,Hall,1987-06-25,Female,Marketing,870625-88-4073
1037,Jill,Rodriguez,1974-06-25,Female,Information Technology,740625-77-4075
1038,Nancy,Taylor,1979-11-11,Female,Finance,791111-44-4077
1039,Danielle,Skinner,1962-11-20,Male,Finance,621120-44-3068
1040,Rachel,Richardson,1994-08-28,Male,Human Resources,940828-66-3070
1041,Bruce,Klein,1955-09-24,Female,Information Technology,550924-77-4079
1042,Robin,Pittman,1955-10-30,Male,Finance,551030-44-3072
1043,Randall,Jensen,1978-06-30,Female,Finance,780630-44-4081
1044,Lindsey,Kelley,1974-10-05,Male,Quality,741005-33-3074
1045,Michael,Brown,1996-11-06,Male,Marketing,961106-88-3076
1046,Michael,Acevedo,1996-02-09,Female,Quality,960209-33-4083
1047,Kelly,Castillo,1983-05-18,Male,Information Technology,830518-77-3078
1048,Jeanne,Green,1993-04-30,Male,Quality,930430-33-3080
1049,Carl,Carter,1987-06-30,Female,Information Technology,870630-77-4085
1050,Toni,Andrews,1953-12-19,Female,Information Technology,531219-77-4087
1051,Alejandro,Sharp,1961-12-03,Male,Finance,611203-44-3082
1052,Vanessa,Brooks,1969-03-03,Female,Finance,690303-44-4089
1053,Zachary,Bowers,2001-07-29,Male,Human Resources,010729-66-3084
1054,Jackie,Taylor,1989-02-21,Female,Marketing,890221-88-4091
1055,Alyssa,Jenkins,1998-10-14,Male,Finance,981014-44-3086
1056,Craig,Johnson,1967-08-18,Male,Human Resources,670818-66-3088
1057,Timothy,Edwards,1994-01-03,Female,Operations,940103-99-4093
1058,Shawn,Smith,1957-01-01,Male,Quality,570101-33-3090
1059,Dawn,Collier,1984-02-20,Male,Finance,840220-44-3092
1060,Jeffrey,Francis,1970-06-14,Male,Finance,700614-44-3094
1061,Ashley,Moore,1957-03-28,Male,Human Resources,570328-66-3096
1062,Alicia,Escobar,1984-12-26,Female,Marketing,841226-88-4095
1063,Mary,Green,1964-03-06,Male,Operations,640306-99-3098
1064,Robin,Adkins,1955-09-06,Male,Operations,550906-99-3100
1065,Sheila,Bell,1966-03-30,Female,Quality,660330-33-4097
1066,Kimberly,Craig,2001-04-20,Male,Human Resources,010420-66-3102
1067,Carly,Thompson,1967-05-02,Male,Human Resources,670502-66-3104
1068,Alexandra,Bullock,1995-04-30,Male,Operations,950430-99-3106
1069,Guy,Gonzales,1993-03-29,Male,Operations,930329-99-3108
1070,Cassandra,Robles,1968-03-12,Male,Quality,680312-33-3110
1071,Ashley,Monroe,1961-11-12,Male,Human Resources,611112-66-3112
1072,Christopher,Riggs,1969-01-13,Female,Human Resources,690113-66-4099
1073,Megan,Harris,1988-06-28,Male,Marketing,880628-88-3114
1074,Amber,Barrett,1999-10-22,Male,Operations,991022-99-3116
1075,Beth,Johnson,1993-03-24,Male,Quality,930324-33-3118
1076,Amy,Martinez,2002-05-29,Male,Quality,020529-33-3120
